NUM     NOME      itp   DI HI M DF HF M      VAZAO
XXX XXXXXXXXXXXX   X    XXxXXxXxXXxXXxX     XXXXXXXXX
141 BAGUARI        1    31      F                 726
141 BAGUARI        1    01      F                 641
141 BAGUARI        1    02      F                 556
 14 CACONDE        1    27      F                  52
 14 CACONDE        1    28      F                  48
 14 CACONDE        1    29      F                  45
 14 CACONDE        1    30      F                  43
 14 CACONDE        1    31      F                  41
 14 CACONDE        1    01      F                  42
 14 CACONDE        1    02      F                  44
 18 A. VERMELHA    1    27      F                 205
 18 A. VERMELHA    1    28      F                 193
 18 A. VERMELHA    1    29      F                 183
 18 A. VERMELHA    1    30      F                 173
 18 A. VERMELHA    1    31      F                 165
 18 A. VERMELHA    1    01      F                 158
 18 A. VERMELHA    1    02      F                 152
 37 BARRA BONITA   1    27      F                 151
 37 BARRA BONITA   1    28      F                 131
 37 BARRA BONITA   1    29      F                 117
 37 BARRA BONITA   1    30      F                 109
 37 BARRA BONITA   1    31      F                 100
 37 BARRA BONITA   1    01      F                  93
 40 PROMISSAO      1    27      F                  27
 40 PROMISSAO      1    28      F                  25
 40 PROMISSAO      1    29      F                  24
 40 PROMISSAO      1    30      F                  23
 40 PROMISSAO      1    31      F                  22
 40 PROMISSAO      1    01      F                  21
 40 PROMISSAO      1    02      F                  22
 42 NAVANHANDAVA   1    27      F                  11
 42 NAVANHANDAVA   1    28      F                  10
 42 NAVANHANDAVA   1    29      F                   9
 42 NAVANHANDAVA   1    01      F                   8
 42 NAVANHANDAVA   1    02      F                   9
 15 E. DA CUNHA    1    27      F                  33
 15 E. DA CUNHA    1    28      F                  31
 15 E. DA CUNHA    1    29      F                  29
 15 E. DA CUNHA    1    30      F                  27
 15 E. DA CUNHA    1    31      F                  26
 15 E. DA CUNHA    1    01      F                  27
 15 E. DA CUNHA    1    02      F                  28
 16 A.S.OLIVEIRA   1    27      F                   1
 38 A.S. LIMA      1    27      F                  40
 38 A.S. LIMA      1    29      F                  39
 39 IBITINGA       1    27      F                  77
 39 IBITINGA       1    28      F                  76
 39 IBITINGA       1    29      F                  75
 62 TAQUARUCU      1    27      F                  31
 62 TAQUARUCU      1    28      F                  30
 62 TAQUARUCU      1    29      F                  29
 62 TAQUARUCU      1    02      F                  30
 63 ROSANA         1    27      F                  73
 63 ROSANA         1    28      F                  70
 63 ROSANA         1    29      F                  68
 63 ROSANA         1    01      F                  67
 63 ROSANA         1    02      F                  71
 52 CANOAS I       1    27      F                   8
 52 CANOAS I       1    29      F                   7
 52 CANOAS I       1    02      F                   6
 51 CANOAS II      1    27      F                   4
 51 CANOAS II      1    30      F                   3
 47 A.A. LAYDNER   1    27      F                 108
 47 A.A. LAYDNER   1    28      F                  96
 47 A.A. LAYDNER   1    29      F                  87
 47 A.A. LAYDNER   1    30      F                  83
 47 A.A. LAYDNER   1    31      F                  78
 47 A.A. LAYDNER   1    01      F                  73
 47 A.A. LAYDNER   1    02      F                  69
 49 CHAVANTES      1    27      F                  51
 49 CHAVANTES      1    28      F                  52
 49 CHAVANTES      1    29      F                  51
 49 CHAVANTES      1    30      F                  50
 49 CHAVANTES      1    31      F                  48
 49 CHAVANTES      1    01      F                  45
 49 CHAVANTES      1    02      F                  44
 61 CAPIVARA       1    27      F                 269
 61 CAPIVARA       1    28      F                 237
 61 CAPIVARA       1    29      F                 216
 61 CAPIVARA       1    30      F                 199
 61 CAPIVARA       1    31      F                 184
 61 CAPIVARA       1    01      F                 173
 61 CAPIVARA       1    02      F                 166
 50 L.N. GARCEZ    1    27      F                  48
 50 L.N. GARCEZ    1    28      F                  46
 50 L.N. GARCEZ    1    29      F                  44
 50 L.N. GARCEZ    1    30      F                  43
 50 L.N. GARCEZ    1    31      F                  41
 50 L.N. GARCEZ    1    01      F                  40
 50 L.N. GARCEZ    1    02      F                  38
 45 JUPIA          1    27      F                 324
 45 JUPIA          1    28      F                 308
 45 JUPIA          1    29      F                 294
 45 JUPIA          1    30      F                 282
 45 JUPIA          1    31      F                 272
 45 JUPIA          1    01      F                 264
 45 JUPIA          1    02      F                 261
 43 TRES IRMAOS    1    27      F                  11
 43 TRES IRMAOS    1    28      F                  10
 43 TRES IRMAOS    1    29      F                   9
 43 TRES IRMAOS    1    30      F                   8
 43 TRES IRMAOS    1    01      F                   7
 34 I. SOLTEIRA    1    27      F                 166
 34 I. SOLTEIRA    1    28      F                 151
 34 I. SOLTEIRA    1    29      F                 139
 34 I. SOLTEIRA    1    30      F                 130
 34 I. SOLTEIRA    1    31      F                 122
 34 I. SOLTEIRA    1    01      F                 116
 34 I. SOLTEIRA    1    02      F                 112
153 SAO DOMINGOS   1    27      F                 104
153 SAO DOMINGOS   1    28      F                 100
153 SAO DOMINGOS   1    29      F                  97
153 SAO DOMINGOS   1    30      F                  95
153 SAO DOMINGOS   1    31      F                  94
153 SAO DOMINGOS   1    01      F                  98
 46 P. PRIMAVERA   1    27      F                 668
 46 P. PRIMAVERA   1    28      F                 603
 46 P. PRIMAVERA   1    29      F                 551
 46 P. PRIMAVERA   1    30      F                 511
 46 P. PRIMAVERA   1    31      F                 480
 46 P. PRIMAVERA   1    01      F                 456
 46 P. PRIMAVERA   1    02      F                 440
120 JAGUARI        1    27      F                  42
